CR001, EcoFreight Express, Electric Van, SHP901, Perishables, 5, 2026-06-02, 12, 450.00
CR001, EcoFreight Express, Electric Van, SHP902, Standard Electronics, 3, 2026-06-02, 24, 120.50
CR002, SkyDrone Logistics, Drone Delivery, SHP903, Medical Supplies, 1, 2026-06-03, 2, 50.00
CR003, HeavyHaul Trains, Freight Train, SHP904, Bulk Apparel, 4, 2026-06-04, 72, 890.00
CR003, HeavyHaul Trains, Freight Train, SHP905, Raw Materials, 4, 2026-06-04, 72, 950.00
CR003, HeavyHaul Trains, Freight Train, SHP906, Machinery, 3, 2026-06-04, 72, 1200.00
CR003, HeavyHaul Trains, Freight Train, SHP907, Furniture, 4, 2026-06-05, 48, 600.00
CR004, GreenWay Trucks, Hybrid Truck, SHP908, Standard Electronics, 2, 2026-06-05, 48, 250.00
CR004, GreenWay Trucks, Hybrid Truck, SHP909, Medical Supplies, 1, 2026-06-05, 24, 150.00
CR004, GreenWay Trucks, Hybrid Truck, SHP910, Bulk Apparel, 4, 2026-06-05, 48, 300.00
CR004, GreenWay Trucks, Hybrid Truck, SHP911, Furniture, 5, 2026-06-06, 72, 450.00
CR004, GreenWay Trucks, Hybrid Truck, SHP912, Standard Electronics, 3, 2026-06-06, 48, 200.00
CR005, AeroSwift, Drone Delivery, SHP913, Medical Supplies, 1, 2026-06-06, 2, 45.00
CR005, AeroSwift, Drone Delivery, SHP914, Perishables, 2, 2026-06-06, 4, 60.00
CR006, CitySprint, Electric Van, SHP915, Standard Electronics, 3, 2026-06-07, 12, 110.00
CR006, CitySprint, Electric Van, SHP916, Bulk Apparel, 4, 2026-06-07, 12, 130.00
CR006, CitySprint, Electric Van, SHP917, Perishables, 2, 2026-06-07, 8, 90.00
CR007, IronTrack Logistics, Freight Train, SHP918, Raw Materials, 5, 2026-06-07, 96, 1200.00
CR007, IronTrack Logistics, Freight Train, SHP919, Machinery, 4, 2026-06-08, 96, 1500.00
CR007, IronTrack Logistics, Freight Train, SHP920, Hazardous Materials, 1, 2026-06-08, 96, 2000.00
CR007, IronTrack Logistics, Freight Train, SHP921, Raw Materials, 4, 2026-06-08, 96, 1100.00
CR008, RapidAir, Drone Delivery, SHP922, Medical Supplies, 1, 2026-06-08, 1, 80.00
CR009, EcoDeliver, Electric Van, SHP923, Standard Electronics, 3, 2026-06-09, 24, 150.00
CR009, EcoDeliver, Electric Van, SHP924, Perishables, 2, 2026-06-09, 12, 120.00
CR010, OceanBlue Freight, Hybrid Truck, SHP925, Bulk Apparel, 4, 2026-06-09, 48, 300.00
CR010, OceanBlue Freight, Hybrid Truck, SHP926, Standard Electronics, 3, 2026-06-09, 48, 350.00
CR010, OceanBlue Freight, Hybrid Truck, SHP927, Machinery, 4, 2026-06-10, 72, 800.00
CR010, OceanBlue Freight, Hybrid Truck, SHP928, Furniture, 5, 2026-06-10, 48, 400.00
CR010, OceanBlue Freight, Hybrid Truck, SHP929, Raw Materials, 5, 2026-06-10, 72, 500.00
CR011, QuickVolt, Electric Van, SHP930, Perishables, 2, 2026-06-10, 8, 85.00
CR011, QuickVolt, Electric Van, SHP931, Standard Electronics, 3, 2026-06-11, 12, 105.00
CR011, QuickVolt, Electric Van, SHP932, Bulk Apparel, 4, 2026-06-11, 24, 140.00
CR012, Atlas Cargo, Freight Train, SHP933, Machinery, 3, 2026-06-11, 96, 1600.00
CR012, Atlas Cargo, Freight Train, SHP934, Raw Materials, 4, 2026-06-11, 96, 1300.00
CR012, Atlas Cargo, Freight Train, SHP935, Bulk Apparel, 5, 2026-06-12, 72, 900.00
CR012, Atlas Cargo, Freight Train, SHP936, Hazardous Materials, 1, 2026-06-12, 96, 2100.00
CR013, SkyNet, Drone Delivery, SHP937, Standard Electronics, 2, 2026-06-12, 2, 60.00
CR014, TerraHaul, Hybrid Truck, SHP938, Furniture, 5, 2026-06-12, 48, 420.00
CR014, TerraHaul, Hybrid Truck, SHP939, Machinery, 4, 2026-06-12, 72, 750.00
CR014, TerraHaul, Hybrid Truck, SHP940, Raw Materials, 4, 2026-06-13, 72, 600.00
CR014, TerraHaul, Hybrid Truck, SHP941, Bulk Apparel, 5, 2026-06-13, 48, 330.00
CR014, TerraHaul, Hybrid Truck, SHP942, Standard Electronics, 3, 2026-06-13, 48, 280.00
CR014, TerraHaul, Hybrid Truck, SHP943, Perishables, 2, 2026-06-14, 24, 190.00
CR015, ZapLogistics, Electric Van, SHP944, Medical Supplies, 1, 2026-06-14, 6, 95.00
CR015, ZapLogistics, Electric Van, SHP945, Standard Electronics, 3, 2026-06-14, 12, 115.00
CR016, HoverExpress, Drone Delivery, SHP946, Medical Supplies, 1, 2026-06-14, 1, 55.00
CR016, HoverExpress, Drone Delivery, SHP947, Perishables, 2, 2026-06-15, 2, 40.00
CR017, Titan Freight, Freight Train, SHP948, Machinery, 3, 2026-06-15, 96, 1700.00
CR017, Titan Freight, Freight Train, SHP949, Raw Materials, 4, 2026-06-15, 96, 1400.00
CR017, Titan Freight, Freight Train, SHP950, Bulk Apparel, 5, 2026-06-15, 72, 950.00
CR017, Titan Freight, Freight Train, SHP951, Hazardous Materials, 1, 2026-06-16, 96, 2200.00
CR017, Titan Freight, Freight Train, SHP952, Machinery, 3, 2026-06-16, 96, 1650.00
CR018, MetroVolt, Electric Van, SHP953, Perishables, 2, 2026-06-16, 8, 75.00
CR018, MetroVolt, Electric Van, SHP954, Standard Electronics, 3, 2026-06-16, 12, 125.00
CR018, MetroVolt, Electric Van, SHP955, Bulk Apparel, 4, 2026-06-17, 24, 145.00
CR019, GlideDelivery, Drone Delivery, SHP956, Standard Electronics, 2, 2026-06-17, 2, 65.00
CR020, Horizon Haulers, Hybrid Truck, SHP957, Furniture, 5, 2026-06-17, 48, 460.00
CR020, Horizon Haulers, Hybrid Truck, SHP958, Machinery, 4, 2026-06-17, 72, 780.00
CR020, Horizon Haulers, Hybrid Truck, SHP959, Raw Materials, 4, 2026-06-18, 72, 620.00
CR020, Horizon Haulers, Hybrid Truck, SHP960, Bulk Apparel, 5, 2026-06-18, 48, 340.00
CR021, CoreRail, Freight Train, SHP961, Hazardous Materials, 1, 2026-06-18, 96, 2300.00
CR021, CoreRail, Freight Train, SHP962, Machinery, 3, 2026-06-18, 96, 1550.00
CR021, CoreRail, Freight Train, SHP963, Raw Materials, 4, 2026-06-19, 96, 1250.00
CR021, CoreRail, Freight Train, SHP964, Bulk Apparel, 5, 2026-06-19, 72, 850.00
CR021, CoreRail, Freight Train, SHP965, Raw Materials, 4, 2026-06-19, 96, 1150.00
CR021, CoreRail, Freight Train, SHP966, Machinery, 3, 2026-06-20, 96, 1450.00
CR021, CoreRail, Freight Train, SHP967, Hazardous Materials, 1, 2026-06-20, 96, 2400.00
CR022, VoltDash, Electric Van, SHP968, Medical Supplies, 1, 2026-06-20, 6, 85.00
CR022, VoltDash, Electric Van, SHP969, Standard Electronics, 3, 2026-06-20, 12, 135.00
CR023, WindRider, Drone Delivery, SHP970, Medical Supplies, 1, 2026-06-21, 1, 50.00
CR023, WindRider, Drone Delivery, SHP971, Perishables, 2, 2026-06-21, 2, 45.00
CR023, WindRider, Drone Delivery, SHP972, Standard Electronics, 2, 2026-06-21, 2, 55.00
CR024, PrimeRail, Freight Train, SHP973, Machinery, 3, 2026-06-21, 96, 1800.00
CR025, EcoFleet, Hybrid Truck, SHP974, Furniture, 5, 2026-06-22, 48, 480.00
CR025, EcoFleet, Hybrid Truck, SHP975, Machinery, 4, 2026-06-22, 72, 820.00
CR025, EcoFleet, Hybrid Truck, SHP976, Raw Materials, 4, 2026-06-22, 72, 640.00
CR025, EcoFleet, Hybrid Truck, SHP977, Bulk Apparel, 5, 2026-06-23, 48, 360.00
CR025, EcoFleet, Hybrid Truck, SHP978, Standard Electronics, 3, 2026-06-23, 48, 290.00
CR026, UrbanCharge, Electric Van, SHP979, Perishables, 2, 2026-06-23, 8, 95.00
CR026, UrbanCharge, Electric Van, SHP980, Standard Electronics, 3, 2026-06-24, 12, 145.00
CR027, FreightMasters, Hybrid Truck, SHP981, Furniture, 5, 2026-06-24, 48, 410.00
CR027, FreightMasters, Hybrid Truck, SHP982, Machinery, 4, 2026-06-24, 72, 760.00
CR027, FreightMasters, Hybrid Truck, SHP983, Raw Materials, 4, 2026-06-25, 72, 610.00
CR027, FreightMasters, Hybrid Truck, SHP984, Bulk Apparel, 5, 2026-06-25, 48, 320.00
CR028, SwiftCurrent, Drone Delivery, SHP985, Medical Supplies, 1, 2026-06-25, 1, 60.00
CR028, SwiftCurrent, Drone Delivery, SHP986, Perishables, 2, 2026-06-26, 2, 35.00
CR028, SwiftCurrent, Drone Delivery, SHP987, Standard Electronics, 2, 2026-06-26, 2, 70.00
CR029, SparkLogistics, Electric Van, SHP988, Medical Supplies, 1, 2026-06-26, 6, 75.00
CR029, SparkLogistics, Electric Van, SHP989, Standard Electronics, 3, 2026-06-27, 12, 100.00
CR030, MegaRail, Freight Train, SHP990, Machinery, 3, 2026-06-27, 96, 1750.00
